exon_phyloP100way	1	7.44201405191131
stop_phastCons100way	2	11.2116531700905
stop_phyloP100way	3	11.2123538954842
Fallopian.Tube	4	11.6988923380497
start_phyloP100way	5	14.1018627090207
start_phastCons100way	6	15.5085233901755
exon_phastCons100way	7	18.5231354850166
num_homologs_with_uORFs	8	19.5955321507376
Tissue.Entropy	9	21.2378455959269
aa_len	10	23.5635580400929
start_initiating	11	31.4932472205584
Brain	12	32.8639660481134
Liver	13	32.8772908933875
Skin	14	33.3512457200492
Testis	15	33.4670168830001
Blood.Vessel	16	33.536560080217
Small.Intestine	17	34.3768799424605
Salivary.Gland	18	34.4102405397839
Pituitary	19	34.464862808576
Breast	20	34.5435058033173
Vagina	21	34.7379887358232
Blood	22	34.9067364000532
Stomach	23	35.3910856153872
Spleen	24	35.4897672196606
Heart	25	35.7154228585684
mean_expression	26	35.7455679733425
Muscle	27	35.8394734252163
Bladder	28	35.993608010189
Thyroid	29	36.2978324859504
Cervix.Uteri	30	36.3594069845493
stop_elongating_A	31	36.5397868825848
Colon	32	36.5863467971897
Ovary	33	36.5975901960366
Adrenal.Gland	34	36.6842165731485
Prostate	35	36.7290674411136
Esophagus	36	37.6728984472375
Nerve	37	37.7958253357371
Bone.Marrow	38	37.9624969786136
Adipose.Tissue	39	38.2706568258037
Kidney	40	38.3612006915636
Pancreas	41	39.1566647807349
Uterus	42	39.8400294398456
start_elongating_A	43	40.2331714484287
Lung	44	40.5244950796608
stop_elongating_footprints	45	47.1123954459017
start_elongating_footprints	46	53.0083367599583
exon_elongating_footprints	47	64.6082953537919
exon_elongating_A	48	68.2649713354666
