chr10	100912984	100913136	+
chr10	100987567	100987617	+
chr10	100987824	100987892	+
chr10	102643935	102644075	+
chr10	102644316	102644492	+
chr10	103450014	103452185	-
chr10	103917594	103917656	-
chr10	110918150	110919128	-
chr10	112445459	112445542	-
chr10	112446763	112446804	-
chr10	113853777	113853818	-
chr10	114174043	114174087	-
chr10	114938228	114938296	+
chr10	117375209	117375319	-
chr10	118046278	118046391	-
chr10	118754790	118755218	-
chr10	12069009	12081475	+
chr10	121593865	121593897	-
chr10	12195810	12195911	-
chr10	123007147	123008786	-
chr10	124046319	124046444	-
chr10	126330479	126388200	-
chr10	132537841	132537864	+
chr10	133302946	133302966	-
chr10	15102228	15103378	+
chr10	15860287	15860352	-
chr10	18651383	18651448	-
chr10	22321235	22321324	+
chr10	22321518	22321571	+
chr10	26860839	26860880	-
chr10	28532787	28532897	+
chr10	28535611	28590796	+
chr10	30437366	30438964	+
chr10	32056174	32056200	-
chr10	32305873	32378647	-
chr10	33334598	33334663	-
chr10	34815112	34815162	-
chr10	3782144	3785114	-
chr10	37838002	37856474	-
chr10	38010754	38012345	+
chr10	43396537	43396575	-
chr10	43644789	43646185	-
chr10	44959832	44970171	+
chr10	50344159	50344278	-
chr10	50460757	50460792	-
chr10	5685115	5712857	+
chr10	58385433	58386303	+
chr10	6089167	6097053	+
chr10	63133416	63152162	+
chr10	68572293	68572514	+
chr10	68721251	68722467	+
chr10	71964630	72005757	+
chr10	72626042	72626068	-
chr10	73785587	73785946	+
chr10	73810898	73811581	-
chr10	77637645	77637725	-
chr10	84328666	84328710	+
chr10	86364018	86366414	-
chr10	86521593	86521730	-
chr10	86521697	86521741	-
chr10	87096940	87151455	+
chr10	87863709	87863846	+
chr10	88880151	88901656	+
chr10	90871974	90872027	+
chr10	91222691	91222720	+
chr10	91222720	91222824	+
chr10	91923923	91924042	+
chr10	92291217	92311190	+
chr10	95693686	95694015	-
chr10	96129899	96132617	+
chr10	96586865	96586930	-
chr10	96832303	96833452	+
chr10	97619663	97633484	-
chr10	98443215	98445396	-
chr10	99659878	99659928	+
chr1	100038117	100038155	+
chr1	100888797	100894756	-
chr1	100894690	100894770	-
chr1	1087507	1092020	-
chr1	108885277	108885297	+
chr1	108885309	108885374	+
chr11	102348660	102348692	+
chr11	10294146	10294196	-
chr11	106022144	106022182	-
